trade_id,symbol,trade_type,status,entry_price,average_price,current_size,size,created_at,closed_at,exit_price,average_exit_price,profit_loss,risk_reward_ratio,win_loss,configuration_id,is_contract,is_day_trade,strike,expiration_date,option_type
XM97F3MG,SPX,BTO,CLOSED,1.55,1.55,0,2,2024-12-20 20:20:42.023485+00:00,2025-01-25 17:45:10.295999+00:00,0.0,0.0,-3.1,,LOSS,1,True,True,5960.0,2024-12-20 21:15:00+00:00,CALL
5NF5uEDw,CCL,BTO,CLOSED,0.18,0.18,0,1,2024-12-24 14:34:34.340970+00:00,2025-01-25 17:45:10.838509+00:00,0.0,0.0,-0.18,,LOSS,1,True,True,26.0,2024-12-27 21:15:00+00:00,CALL
4GAwScXn,AMD,Buy to Open,CLOSED,0.12,0.12,0,2,2024-10-11 18:38:32.030701+00:00,2025-01-25 17:44:48.130536+00:00,0.0,0.0,-0.24,,LOSS,1,True,True,167.5,2024-10-11 21:15:00+00:00,PUT
5butx4uP,MSTR,Buy to Open,CLOSED,2.0,2.0,0,1,2024-10-03 16:39:58.240895+00:00,2025-01-25 17:44:45.130148+00:00,1.87,1.87,-0.13,,LOSS,1,True,True,165.0,2024-10-04 21:15:00+00:00,
aiRWXmYw,SPX,Buy to Open,CLOSED,24.3,24.3,0,1,2024-10-03 19:49:53.819195+00:00,2025-01-25 17:44:45.433948+00:00,0.0,0.0,-24.3,,LOSS,1,True,True,5650.0,2024-10-07 21:15:00+00:00,PUT
jcgj4bLn,OXY,Buy to Open,CLOSED,1.97,1.97,0,6,2024-10-01 15:25:54.577067+00:00,2025-01-25 17:44:44.153812+00:00,0.0,0.0,-11.82,,LOSS,2,True,False,55.0,2024-11-15 21:15:00+00:00,CALL
THgT5QhV,SPX,Buy to Open,CLOSED,0.95,0.95,0,1,2024-10-03 18:49:41.853003+00:00,2025-01-25 17:44:45.246117+00:00,0.0,0.0,-0.95,,LOSS,1,True,True,5670.0,2024-10-03 21:15:00+00:00,PUT
o7FavAbr,AMD,Buy to Open,CLOSED,0.17,0.17,0,1,2024-10-04 13:32:18.492209+00:00,2025-01-25 17:44:45.535043+00:00,0.0,0.0,-0.17,,LOSS,1,True,True,162.5,2024-10-04 21:15:00+00:00,PUT
B65DCcAe,SPX,Buy to Open,CLOSED,1.15,1.15,0,1,2024-10-10 17:25:22.373465+00:00,2025-01-25 17:44:47.777427+00:00,0.95,0.95,-0.2,,LOSS,1,True,True,5755.0,2024-10-10 21:15:00+00:00,
WKPGubbV,UVXY,Buy to Open,CLOSED,1.71,1.70555555555556,0,9,2024-10-18 19:08:44.304776+00:00,2025-01-25 17:44:48.295288+00:00,1.67388888888889,1.67388888888889,-0.285,,LOSS,2,True,False,30.0,2024-11-15 21:15:00+00:00,CALL
WrNzyKvT,COIN,Buy to Open,CLOSED,1.98,1.98,0,6,2024-10-01 17:06:18.582460+00:00,2025-01-25 17:44:44.655955+00:00,0.0,0.0,-11.88,,LOSS,1,True,True,155.0,2024-10-04 21:15:00+00:00,PUT
iECqJwN9,SPX,STO,CLOSED,-11.7,-11.7,0,6,2024-09-30 13:02:47.025384+00:00,2025-01-25 17:44:43.286123+00:00,-4.7,-4.7,42.0,,WIN,2,True,True,5750.0,2024-09-30 21:15:00+00:00,
HyAGoTmp,SPX,Buy to Open,CLOSED,38.5,38.5,0,1,2024-10-09 15:05:57.368313+00:00,2025-02-14 21:27:11.335512+00:00,0.0,0.0,-38.5,,LOSS,2,True,False,5700.0,2024-10-25 21:15:00+00:00,PUT
ZLiehxcW,SPX,BTO,CLOSED,4.8,4.8,0,1,2024-09-30 14:11:42.530115+00:00,2025-01-25 17:44:43.489175+00:00,5.5,5.5,0.7,,WIN,1,True,True,5745.0,2024-09-30 21:15:00+00:00,
HnjJVGKb,SPX,Buy to Open,CLOSED,26.8,26.8,0,1,2024-10-01 15:00:00.845678+00:00,2025-01-25 17:44:44.020953+00:00,12.9,12.9,-13.9,,LOSS,1,True,True,5650.0,2024-10-04 21:15:00+00:00,
fzDSpXzE,SPX,Buy to Open,CLOSED,1.35,1.12,0,2.5,2024-10-01 14:44:05.308363+00:00,2025-01-25 17:44:43.953745+00:00,0.59,0.59,-1.325,,LOSS,1,True,True,5640.0,2024-10-01 21:15:00+00:00,PUT
Gyq96yJh,SPX,Buy to Open,CLOSED,54.5,26.04,0,5,2024-10-03 18:55:16.432466+00:00,2025-01-25 17:44:45.322045+00:00,0.0,0.0,-130.2,,LOSS,2,True,False,5695.0,2024-10-11 21:15:00+00:00,PUT
ebhrMqyc,SPX,Buy to Open,CLOSED,7.95,3.97857142857143,0,3.5,2024-10-01 15:31:42.294694+00:00,2025-01-25 17:44:44.212745+00:00,4.88571428571429,4.88571428571429,3.175,,WIN,1,True,True,5685.0,2024-10-01 21:15:00+00:00,PUT
MAQhcZQs,AMD,Buy to Open,CLOSED,1.11,0.826666666666667,0,3,2024-10-07 15:24:00.127158+00:00,2025-01-25 17:44:46.190446+00:00,0.233333333333333,0.233333333333333,-1.78,,LOSS,1,True,True,160.0,2024-10-11 21:15:00+00:00,PUT
KM83Q44Q,TSLA,BTO,CLOSED,0.6,0.6,0,1,2025-04-09 19:07:09.878000+00:00,2025-04-22 20:40:38.238000+00:00,0.0,0.0,-0.6,,LOSS,1,True,True,210.0,2025-04-11 20:30:00+00:00,P
ASvzdtMQ,UVXY,BTO,CLOSED,25.01,25.01,0,3,2024-09-30 20:04:36.310953+00:00,2024-11-01 14:13:56.086068+00:00,28.78,28.78,11.31,,WIN,3,False,False,,,
bpQ8Zrhr,UVXY,Buy to Open,CLOSED,26.44,26.44,0,3,2024-10-14 17:09:45.868763+00:00,2024-11-03 20:31:04.014444+00:00,28.78,28.78,7.02,,WIN,3,False,False,,,
gJnb3mRZ,ES,Sell to Open,CLOSED,5829.75,5829.75,0,6,2024-10-10 15:37:46.368020+00:00,2024-10-28 22:17:49.108351+00:00,5828.75,5828.75,-6.0,,LOSS,1,False,False,,,
kNxn6NzT,CVNA,Sell to Open,CLOSED,174.62,174.62,0,4,2024-10-01 14:06:50.048745+00:00,2024-11-01 14:20:46.174666+00:00,240.58,240.58,263.84,,WIN,3,False,False,,,
K3g96h9x,MSTR,Sell to Open,CLOSED,188.86,190.735,0,2,2024-10-07 15:22:43.109687+00:00,2024-11-01 14:07:28.277950+00:00,244.74,244.74,108.01,,WIN,3,False,False,,,
EJAc6nHK,SOXL,Sell to Open,CLOSED,36.62,37.28,0,7,2024-10-07 15:31:12.666883+00:00,2024-11-01 14:31:40.829945+00:00,31.3478571428571,31.3478571428571,-41.525,,LOSS,3,False,False,,,
BbVjheZQ,COIN,BTO,CLOSED,4.2,4.2,0,3,2024-11-01 13:33:56.604863+00:00,2025-01-25 18:14:27+00:00,,19.2516666666667,45.155,,WIN,3,True,False,500.0,2025-06-20 21:15:00+00:00,CALL
YY4Jogv2,KWEB,BTO,CLOSED,1.06,1.06,0,3,2024-12-24 17:24:18.501124+00:00,2025-01-25 17:45:10.890229+00:00,0.0,0.0,-3.18,,LOSS,2,True,False,30.0,2025-01-17 00:00:00+00:00,CALL
2SDQCCUK,UVXY,BTO,CLOSED,0.27,0.27,0,2,2024-11-14 20:37:31.775701+00:00,2025-01-25 17:44:58.975965+00:00,0.865,0.865,1.19,,WIN,1,True,True,20.0,2024-11-15 21:15:00+00:00,CALL
53wgJDPd,SPX,STO,CLOSED,15.4,15.4,0,1,2024-11-04 16:52:35.270431+00:00,2025-01-25 17:44:54.729807+00:00,11.0,11.0,-4.4,,LOSS,1,True,True,5700.0,2024-11-04 21:15:00+00:00,CALL
7Q62mNae,SPX,BTO,CLOSED,0.4,0.4,0,1,2024-10-30 15:41:30.397133+00:00,2025-01-25 17:44:51.473211+00:00,0.0,0.0,-0.4,,LOSS,1,True,True,5800.0,2024-10-30 21:15:00+00:00,PUT
6wHPQfpB,TSM,BTO,CLOSED,2.6,2.6,0,3,2024-11-27 18:44:56.255459+00:00,2025-01-25 17:45:01.666893+00:00,7.96666666666667,7.96666666666667,16.1,,WIN,2,True,False,182.5,2024-12-06 21:15:00+00:00,CALL
assWDfBY,OXY,BTO,CLOSED,0.13,0.13,0,6,2024-11-01 18:22:23.736018+00:00,2025-01-25 17:44:52.766178+00:00,0.0,0.0,-0.78,,LOSS,2,True,True,53.0,2024-11-08 21:15:00+00:00,CALL
hxGwUc9e,QQQ,BTO,CLOSED,0.32,0.32,0,2,2024-11-01 18:00:51.751909+00:00,2025-01-25 17:44:52.526504+00:00,0.0,0.0,-0.64,,LOSS,1,True,True,489.0,2024-11-01 21:15:00+00:00,CALL
iYJdLEDK,VIX,BTO,CLOSED,0.51,0.51,0,6,2024-11-03 20:32:35.339584+00:00,2025-01-25 17:44:53.359762+00:00,0.0,0.0,-3.06,,LOSS,2,True,False,45.0,2024-11-20 21:15:00+00:00,CALL
WBYUKLob,VIX,BTO,CLOSED,1.38,1.38,0,6,2024-11-03 20:32:35.343711+00:00,2025-01-25 17:44:53.411419+00:00,0.0,0.0,-8.28,,LOSS,2,True,False,25.0,2024-11-20 21:15:00+00:00,CALL
HK48TXu7,COIN,BTO,CLOSED,7.8,7.8,0,6,2024-11-03 20:32:35.366402+00:00,2025-01-25 17:44:53.713550+00:00,0.0,0.0,-46.8,,LOSS,2,True,False,160.0,2024-11-01 21:15:00+00:00,PUT
f3XsxL4R,COIN,BTO,CLOSED,0.96,0.7,0,2,2024-11-01 18:04:50.774120+00:00,2025-01-25 17:44:52.591790+00:00,0.6,0.6,-0.2,,LOSS,1,True,True,182.5,2024-11-01 21:15:00+00:00,CALL
axUWzXa8,NVDA,BTO,CLOSED,2.4,1.98823529411765,0,8.5,2024-11-04 15:52:27.493431+00:00,2025-01-25 17:44:54.403613+00:00,0.817058823529412,0.817058823529412,-9.955,,LOSS,2,True,True,136.0,2024-11-08 21:15:00+00:00,PUT
SATxEtAS,NVDA,BTO,CLOSED,2.95,2.95,0,2,2024-11-05 16:44:33.531603+00:00,2025-01-25 17:44:56.476319+00:00,0.0,0.0,-5.9,,LOSS,1,True,True,140.0,2024-11-08 21:15:00+00:00,PUT
GGLRTT8E,SPY,BTO,CLOSED,1.47,1.36,0,2,2024-11-04 15:20:12.713554+00:00,2025-01-25 17:44:54.303519+00:00,2.3525,2.3525,1.985,,WIN,1,True,True,570.0,2024-11-05 21:15:00+00:00,PUT
Ls5f5EVe,SPY,BTO,CLOSED,1.36,1.332,0,5,2024-11-05 14:34:01.905222+00:00,2025-01-25 17:44:55.639321+00:00,0.0,0.0,-6.66,,LOSS,1,True,True,572.0,2024-11-05 21:15:00+00:00,PUT
V8AnjkNb,SPX,BTO,CLOSED,4.0,3.0,0,2,2024-11-05 14:50:04.738177+00:00,2025-01-25 17:44:55.857028+00:00,0.0,0.0,-6.0,,LOSS,1,True,True,5710.0,2024-11-05 21:15:00+00:00,PUT
JmikU5Ru,SPX,BTO,CLOSED,2.85,1.9,0,2,2024-11-13 14:40:50.860279+00:00,2025-01-25 17:44:58.220047+00:00,2.375,2.375,0.95,,WIN,1,True,True,6010.0,2024-11-13 21:15:00+00:00,CALL
PBMWXvQ5,SPX,BTO,CLOSED,4.8,4.37380952380952,0,2.1,2024-11-22 14:34:34.615818+00:00,2025-01-25 17:44:59.870554+00:00,6.17380952380952,6.17380952380952,3.78,,WIN,1,True,True,5980.0,2024-11-22 21:15:00+00:00,CALL
QdRNpJNL,SPY,BTO,CLOSED,0.36,0.18,0,3,2024-11-25 16:55:18.520943+00:00,2025-01-25 17:45:00.955628+00:00,0.0,0.0,-0.54,,LOSS,1,True,True,593.0,2024-11-26 21:15:00+00:00,PUT
fwrBfuhB,SPY,BTO,CLOSED,0.15,0.09,0,10,2024-11-27 18:37:31.834618+00:00,2025-01-25 17:45:01.603216+00:00,0.0,0.0,-0.9,,LOSS,1,True,True,600.0,2024-11-27 21:15:00+00:00,CALL
kMuBTH5Z,SPY,BTO,CLOSED,1.1,0.836666666666667,0,6,2024-11-04 17:27:13.477103+00:00,2025-01-25 17:44:55.067713+00:00,0.52,0.52,-1.9,,LOSS,1,True,True,570.0,2024-11-04 21:15:00+00:00,PUT
ZJYZ9IHN,SPY,BTO,CLOSED,0.3,0.3,0,1,2025-03-11 18:41:30.335000+00:00,2025-03-26 15:17:59.196000+00:00,0.58,0.58,0.28,,WIN,1,True,True,554.0,2025-03-11 20:30:00+00:00,P
GJDUSXAN,SPXW,BTO,CLOSED,11.1,11.1,0,1,2025-04-08 15:16:09.247000+00:00,2025-04-22 20:39:43.326000+00:00,0.0,0.0,-11.1,,LOSS,1,True,True,5250.0,2025-04-08 20:30:00+00:00,C
BaGV4VWJ,UVXY,BTO,CLOSED,25.01,24.5384,0,12.5,2024-11-03 20:32:35.329583+00:00,2024-12-18 19:11:57.162874+00:00,19.7256,19.7256,-60.16,,LOSS,2,False,False,,,
EuHPQZAr,SPX,BTO,CLOSED,1.15,1.15,0,1,2024-12-10 20:30:57.399889+00:00,2025-01-25 17:45:06.607246+00:00,1.0,1.0,-0.15,,LOSS,1,True,True,6040.0,2024-12-10 21:15:00+00:00,CALL
aYg6ohDn,SPY,BTO,CLOSED,0.36,0.36,0,6,2024-12-04 21:02:22.008173+00:00,2025-01-25 17:45:05.478041+00:00,0.0,0.0,-2.16,,LOSS,1,True,True,605.0,2024-12-05 21:15:00+00:00,PUT
WFwgjZuV,UVXY,BTO,CLOSED,0.77,0.77,0,2.5,2024-12-18 20:02:28.700704+00:00,2025-01-25 17:45:09.720705+00:00,1.672,1.672,2.255,,WIN,2,True,False,20.0,2024-12-27 21:15:00+00:00,PUT
