trade_id,symbol,trade_type,status,entry_price,average_price,current_size,size,created_at,closed_at,exit_price,average_exit_price,profit_loss,risk_reward_ratio,win_loss,is_contract,is_day_trade,strike,expiration_date,option_type,transaction_type,amount,txn_size,txn_created_at,regular_trades_pl,strategy_trades_pl,total_pl
L8FVJCTG,QQQ,BTO,CLOSED,0.52,0.52,0,1,2025-02-25 16:12:41.475000+00:00,2025-02-28 00:00:00+00:00,0.61,0.61,0.09,,WIN,True,True,515.0,2025-02-25 20:30:00+00:00,C,TRIM,1.22,.5,2025-02-25 16:58:48.222000+00:00,70.0,0.0,70.0
L8FVJCTG,QQQ,BTO,CLOSED,0.52,0.52,0,1,2025-02-25 16:12:41.475000+00:00,2025-02-28 00:00:00+00:00,0.61,0.61,0.09,,WIN,True,True,515.0,2025-02-25 20:30:00+00:00,C,TRIM,1.22,.5,2025-02-25 16:58:48.222000+00:00,-7812.0,0.0,-7812.0
L8FVJCTG,QQQ,BTO,CLOSED,0.52,0.52,0,1,2025-02-25 16:12:41.475000+00:00,2025-02-28 00:00:00+00:00,0.61,0.61,0.09,,WIN,True,True,515.0,2025-02-25 20:30:00+00:00,C,TRIM,1.22,.5,2025-02-25 16:58:48.222000+00:00,3660.5,0.0,3660.5
L8FVJCTG,QQQ,BTO,CLOSED,0.52,0.52,0,1,2025-02-25 16:12:41.475000+00:00,2025-02-28 00:00:00+00:00,0.61,0.61,0.09,,WIN,True,True,515.0,2025-02-25 20:30:00+00:00,C,TRIM,1.22,.5,2025-02-25 16:58:48.222000+00:00,-322513.1,0.0,-322513.1
L8FVJCTG,QQQ,BTO,CLOSED,0.52,0.52,0,1,2025-02-25 16:12:41.475000+00:00,2025-02-28 00:00:00+00:00,0.61,0.61,0.09,,WIN,True,True,515.0,2025-02-25 20:30:00+00:00,C,TRIM,1.22,.5,2025-02-25 16:58:48.222000+00:00,-180313.43,0.0,-180313.43
L8FVJCTG,QQQ,BTO,CLOSED,0.52,0.52,0,1,2025-02-25 16:12:41.475000+00:00,2025-02-28 00:00:00+00:00,0.61,0.61,0.09,,WIN,True,True,515.0,2025-02-25 20:30:00+00:00,C,TRIM,1.22,.5,2025-02-25 16:58:48.222000+00:00,15.0,0.0,15.0
AWETU0CL,SPXW,BTO,CLOSED,2.05,2.05,0,1,2025-02-28 17:58:55.099000+00:00,2025-02-28 20:32:59.829000+00:00,7.0,7.0,4.95,,WIN,True,True,5900.0,2025-02-28 20:30:00+00:00,C,OPEN,2.05,1,2025-02-28 17:58:55.195000+00:00,70.0,0.0,70.0
AWETU0CL,SPXW,BTO,CLOSED,2.05,2.05,0,1,2025-02-28 17:58:55.099000+00:00,2025-02-28 20:32:59.829000+00:00,7.0,7.0,4.95,,WIN,True,True,5900.0,2025-02-28 20:30:00+00:00,C,OPEN,2.05,1,2025-02-28 17:58:55.195000+00:00,-7812.0,0.0,-7812.0
AWETU0CL,SPXW,BTO,CLOSED,2.05,2.05,0,1,2025-02-28 17:58:55.099000+00:00,2025-02-28 20:32:59.829000+00:00,7.0,7.0,4.95,,WIN,True,True,5900.0,2025-02-28 20:30:00+00:00,C,OPEN,2.05,1,2025-02-28 17:58:55.195000+00:00,3660.5,0.0,3660.5
AWETU0CL,SPXW,BTO,CLOSED,2.05,2.05,0,1,2025-02-28 17:58:55.099000+00:00,2025-02-28 20:32:59.829000+00:00,7.0,7.0,4.95,,WIN,True,True,5900.0,2025-02-28 20:30:00+00:00,C,OPEN,2.05,1,2025-02-28 17:58:55.195000+00:00,-322513.1,0.0,-322513.1
AWETU0CL,SPXW,BTO,CLOSED,2.05,2.05,0,1,2025-02-28 17:58:55.099000+00:00,2025-02-28 20:32:59.829000+00:00,7.0,7.0,4.95,,WIN,True,True,5900.0,2025-02-28 20:30:00+00:00,C,OPEN,2.05,1,2025-02-28 17:58:55.195000+00:00,-180313.43,0.0,-180313.43
AWETU0CL,SPXW,BTO,CLOSED,2.05,2.05,0,1,2025-02-28 17:58:55.099000+00:00,2025-02-28 20:32:59.829000+00:00,7.0,7.0,4.95,,WIN,True,True,5900.0,2025-02-28 20:30:00+00:00,C,OPEN,2.05,1,2025-02-28 17:58:55.195000+00:00,15.0,0.0,15.0
P878tDcg,XOP,BTO,CLOSED,1.24,1.24,0,5,2024-12-16 16:46:13.092704+00:00,2025-02-28 00:00:00+00:00,0.0,0.0,-6.2,,LOSS,True,False,150.0,2025-02-21 21:15:00+00:00,CALL,CLOSE,0.0,5,2025-02-28 00:00:00+00:00,7920.0,0.0,7920.0
P878tDcg,XOP,BTO,CLOSED,1.24,1.24,0,5,2024-12-16 16:46:13.092704+00:00,2025-02-28 00:00:00+00:00,0.0,0.0,-6.2,,LOSS,True,False,150.0,2025-02-21 21:15:00+00:00,CALL,CLOSE,0.0,5,2025-02-28 00:00:00+00:00,-18406.92,0.0,-18406.92
P878tDcg,XOP,BTO,CLOSED,1.24,1.24,0,5,2024-12-16 16:46:13.092704+00:00,2025-02-28 00:00:00+00:00,0.0,0.0,-6.2,,LOSS,True,False,150.0,2025-02-21 21:15:00+00:00,CALL,CLOSE,0.0,5,2025-02-28 00:00:00+00:00,-18589.58,0.0,-18589.58
P878tDcg,XOP,BTO,CLOSED,1.24,1.24,0,5,2024-12-16 16:46:13.092704+00:00,2025-02-28 00:00:00+00:00,0.0,0.0,-6.2,,LOSS,True,False,150.0,2025-02-21 21:15:00+00:00,CALL,CLOSE,0.0,5,2025-02-28 00:00:00+00:00,-1891.7,0.0,-1891.7
P878tDcg,XOP,BTO,CLOSED,1.24,1.24,0,5,2024-12-16 16:46:13.092704+00:00,2025-02-28 00:00:00+00:00,0.0,0.0,-6.2,,LOSS,True,False,150.0,2025-02-21 21:15:00+00:00,CALL,CLOSE,0.0,5,2025-02-28 00:00:00+00:00,-60843.88,0.0,-60843.88
P878tDcg,XOP,BTO,CLOSED,1.24,1.24,0,5,2024-12-16 16:46:13.092704+00:00,2025-02-28 00:00:00+00:00,0.0,0.0,-6.2,,LOSS,True,False,150.0,2025-02-21 21:15:00+00:00,CALL,CLOSE,0.0,5,2025-02-28 00:00:00+00:00,-1051.6,0.0,-1051.6
ZQV0X25S,SPXW,BTO,CLOSED,16.0,8.175,0,1,2025-03-03 19:01:19+00:00,2025-03-10 13:17:55.341000+00:00,0.0,0.0,-16.35,,LOSS,True,True,5990.0,2025-03-06 20:30:00+00:00,C,ADD,0.35,1,2025-03-05 16:04:09.846000+00:00,70.0,0.0,70.0
ZQV0X25S,SPXW,BTO,CLOSED,16.0,8.175,0,1,2025-03-03 19:01:19+00:00,2025-03-10 13:17:55.341000+00:00,0.0,0.0,-16.35,,LOSS,True,True,5990.0,2025-03-06 20:30:00+00:00,C,ADD,0.35,1,2025-03-05 16:04:09.846000+00:00,-7812.0,0.0,-7812.0
ZQV0X25S,SPXW,BTO,CLOSED,16.0,8.175,0,1,2025-03-03 19:01:19+00:00,2025-03-10 13:17:55.341000+00:00,0.0,0.0,-16.35,,LOSS,True,True,5990.0,2025-03-06 20:30:00+00:00,C,ADD,0.35,1,2025-03-05 16:04:09.846000+00:00,3660.5,0.0,3660.5
ZQV0X25S,SPXW,BTO,CLOSED,16.0,8.175,0,1,2025-03-03 19:01:19+00:00,2025-03-10 13:17:55.341000+00:00,0.0,0.0,-16.35,,LOSS,True,True,5990.0,2025-03-06 20:30:00+00:00,C,ADD,0.35,1,2025-03-05 16:04:09.846000+00:00,-322513.1,0.0,-322513.1
ZQV0X25S,SPXW,BTO,CLOSED,16.0,8.175,0,1,2025-03-03 19:01:19+00:00,2025-03-10 13:17:55.341000+00:00,0.0,0.0,-16.35,,LOSS,True,True,5990.0,2025-03-06 20:30:00+00:00,C,ADD,0.35,1,2025-03-05 16:04:09.846000+00:00,-180313.43,0.0,-180313.43
ZQV0X25S,SPXW,BTO,CLOSED,16.0,8.175,0,1,2025-03-03 19:01:19+00:00,2025-03-10 13:17:55.341000+00:00,0.0,0.0,-16.35,,LOSS,True,True,5990.0,2025-03-06 20:30:00+00:00,C,ADD,0.35,1,2025-03-05 16:04:09.846000+00:00,15.0,0.0,15.0
X144QE5D,NVDA,BTO,CLOSED,0.57,0.57,0,1,2025-03-03 16:31:10.758000+00:00,2025-03-10 13:17:11.512000+00:00,0.0,0.0,-0.57,,LOSS,True,False,129.0,2025-03-07 20:30:00+00:00,C,CLOSE,0.0,1,2025-03-10 13:17:11.512000+00:00,7920.0,0.0,7920.0
X144QE5D,NVDA,BTO,CLOSED,0.57,0.57,0,1,2025-03-03 16:31:10.758000+00:00,2025-03-10 13:17:11.512000+00:00,0.0,0.0,-0.57,,LOSS,True,False,129.0,2025-03-07 20:30:00+00:00,C,CLOSE,0.0,1,2025-03-10 13:17:11.512000+00:00,-18406.92,0.0,-18406.92
X144QE5D,NVDA,BTO,CLOSED,0.57,0.57,0,1,2025-03-03 16:31:10.758000+00:00,2025-03-10 13:17:11.512000+00:00,0.0,0.0,-0.57,,LOSS,True,False,129.0,2025-03-07 20:30:00+00:00,C,CLOSE,0.0,1,2025-03-10 13:17:11.512000+00:00,-18589.58,0.0,-18589.58
X144QE5D,NVDA,BTO,CLOSED,0.57,0.57,0,1,2025-03-03 16:31:10.758000+00:00,2025-03-10 13:17:11.512000+00:00,0.0,0.0,-0.57,,LOSS,True,False,129.0,2025-03-07 20:30:00+00:00,C,CLOSE,0.0,1,2025-03-10 13:17:11.512000+00:00,-1891.7,0.0,-1891.7
X144QE5D,NVDA,BTO,CLOSED,0.57,0.57,0,1,2025-03-03 16:31:10.758000+00:00,2025-03-10 13:17:11.512000+00:00,0.0,0.0,-0.57,,LOSS,True,False,129.0,2025-03-07 20:30:00+00:00,C,CLOSE,0.0,1,2025-03-10 13:17:11.512000+00:00,-60843.88,0.0,-60843.88
X144QE5D,NVDA,BTO,CLOSED,0.57,0.57,0,1,2025-03-03 16:31:10.758000+00:00,2025-03-10 13:17:11.512000+00:00,0.0,0.0,-0.57,,LOSS,True,False,129.0,2025-03-07 20:30:00+00:00,C,CLOSE,0.0,1,2025-03-10 13:17:11.512000+00:00,-1051.6,0.0,-1051.6
T0YNY2HK,QQQ,BTO,CLOSED,0.92,0.725,0,1,2025-03-03 14:32:56.298000+00:00,2025-03-10 13:17:22.861000+00:00,0.0,0.0,-1.45,,LOSS,True,True,515.0,2025-03-03 20:30:00+00:00,C,CLOSE,0.0,2,2025-03-10 13:17:22.861000+00:00,70.0,0.0,70.0
T0YNY2HK,QQQ,BTO,CLOSED,0.92,0.725,0,1,2025-03-03 14:32:56.298000+00:00,2025-03-10 13:17:22.861000+00:00,0.0,0.0,-1.45,,LOSS,True,True,515.0,2025-03-03 20:30:00+00:00,C,CLOSE,0.0,2,2025-03-10 13:17:22.861000+00:00,-7812.0,0.0,-7812.0
T0YNY2HK,QQQ,BTO,CLOSED,0.92,0.725,0,1,2025-03-03 14:32:56.298000+00:00,2025-03-10 13:17:22.861000+00:00,0.0,0.0,-1.45,,LOSS,True,True,515.0,2025-03-03 20:30:00+00:00,C,CLOSE,0.0,2,2025-03-10 13:17:22.861000+00:00,3660.5,0.0,3660.5
T0YNY2HK,QQQ,BTO,CLOSED,0.92,0.725,0,1,2025-03-03 14:32:56.298000+00:00,2025-03-10 13:17:22.861000+00:00,0.0,0.0,-1.45,,LOSS,True,True,515.0,2025-03-03 20:30:00+00:00,C,CLOSE,0.0,2,2025-03-10 13:17:22.861000+00:00,-322513.1,0.0,-322513.1
T0YNY2HK,QQQ,BTO,CLOSED,0.92,0.725,0,1,2025-03-03 14:32:56.298000+00:00,2025-03-10 13:17:22.861000+00:00,0.0,0.0,-1.45,,LOSS,True,True,515.0,2025-03-03 20:30:00+00:00,C,CLOSE,0.0,2,2025-03-10 13:17:22.861000+00:00,-180313.43,0.0,-180313.43
T0YNY2HK,QQQ,BTO,CLOSED,0.92,0.725,0,1,2025-03-03 14:32:56.298000+00:00,2025-03-10 13:17:22.861000+00:00,0.0,0.0,-1.45,,LOSS,True,True,515.0,2025-03-03 20:30:00+00:00,C,CLOSE,0.0,2,2025-03-10 13:17:22.861000+00:00,15.0,0.0,15.0
YJJJ9VLH,SOXL,BTO,CLOSED,0.76,0.56,0,1,2025-03-03 18:13:18.842000+00:00,2025-03-10 13:17:30.877000+00:00,0.0,0.0,-1.12,,LOSS,True,False,23.0,2025-03-07 20:30:00+00:00,C,CLOSE,0.0,2,2025-03-10 13:17:30.877000+00:00,7920.0,0.0,7920.0
YJJJ9VLH,SOXL,BTO,CLOSED,0.76,0.56,0,1,2025-03-03 18:13:18.842000+00:00,2025-03-10 13:17:30.877000+00:00,0.0,0.0,-1.12,,LOSS,True,False,23.0,2025-03-07 20:30:00+00:00,C,CLOSE,0.0,2,2025-03-10 13:17:30.877000+00:00,-18406.92,0.0,-18406.92
YJJJ9VLH,SOXL,BTO,CLOSED,0.76,0.56,0,1,2025-03-03 18:13:18.842000+00:00,2025-03-10 13:17:30.877000+00:00,0.0,0.0,-1.12,,LOSS,True,False,23.0,2025-03-07 20:30:00+00:00,C,CLOSE,0.0,2,2025-03-10 13:17:30.877000+00:00,-18589.58,0.0,-18589.58
