trade_id,symbol,side,quantity,entry_price,exit_price,entry_time,exit_time,pnl,duration_hours,entry_day_of_week,entry_hour
EF27ruHq,SPX,BTO,6.0,12.2,18.4,2024-09-30 13:02:47.015830+00:00,2025-01-25 17:44:43.227285+00:00,37.2,2812.698947626389,1.0,13.0
iECqJwN9,SPX,STO,6.0,-11.7,-4.7,2024-09-30 13:02:47.025384+00:00,2025-01-25 17:44:43.286123+00:00,42.0,2812.6989613163887,1.0,13.0
o4ZvJFDq,OXY,BTO,6.0,0.62,0.0,2024-09-30 13:31:13.597888+00:00,2025-01-25 17:44:43.409884+00:00,-3.72,2812.224947776667,1.0,13.0
ZLiehxcW,SPX,BTO,1.0,4.8,5.5,2024-09-30 14:11:42.530115+00:00,2025-01-25 17:44:43.489175+00:00,0.7,2811.5502664055557,1.0,14.0
ASvzdtMQ,UVXY,BTO,3.0,25.01,28.78,2024-09-30 20:04:36.310953+00:00,2024-11-01 14:13:56.086068+00:00,11.31,762.1554930875,1.0,20.0
kNxn6NzT,CVNA,Sell to Open,4.0,174.62,240.58,2024-10-01 14:06:50.048745+00:00,2024-11-01 14:20:46.174666+00:00,263.84,744.2322572002778,2.0,14.0
fzDSpXzE,SPX,Buy to Open,2.5,1.35,0.59,2024-10-01 14:44:05.308363+00:00,2025-01-25 17:44:43.953745+00:00,-1.325,2787.010734828333,2.0,14.0
HnjJVGKb,SPX,Buy to Open,1.0,26.8,12.9,2024-10-01 15:00:00.845678+00:00,2025-01-25 17:44:44.020953+00:00,-13.9,2786.7453264652777,2.0,15.0
jcgj4bLn,OXY,Buy to Open,6.0,1.97,0.0,2024-10-01 15:25:54.577067+00:00,2025-01-25 17:44:44.153812+00:00,-11.82,2786.3137713180554,2.0,15.0
ebhrMqyc,SPX,Buy to Open,3.5,7.95,4.88571428571429,2024-10-01 15:31:42.294694+00:00,2025-01-25 17:44:44.212745+00:00,3.175,2786.217199458611,2.0,15.0
iNhF3YEu,ES,Sell to Open,10.0,5757.25,5753.5,2024-10-01 15:35:32.087149+00:00,2024-10-01 16:40:29.375820+00:00,-68.75,1.0825801863888889,2.0,15.0
WrNzyKvT,COIN,Buy to Open,6.0,1.98,0.0,2024-10-01 17:06:18.582460+00:00,2025-01-25 17:44:44.655955+00:00,-11.88,2784.640575970833,2.0,17.0
5M5kCd2P,ES,Sell to Open,10.0,5772.5,5772.5,2024-10-01 18:06:23.519866+00:00,2024-10-01 19:32:40.851362+00:00,0.0,1.4381476377777778,2.0,18.0
4wCoBL4k,SPX,Buy to Open,0.0,1.45,0.0,2024-10-02 19:25:30.401789+00:00,2024-10-02 19:25:30.401789+00:00,,0.0,3.0,19.0
5butx4uP,MSTR,Buy to Open,1.0,2.0,1.87,2024-10-03 16:39:58.240895+00:00,2025-01-25 17:44:45.130148+00:00,-0.13,2737.0796914591665,4.0,16.0
